date,state,stateId,family
1957-10-04,Soviet Union,SU,R-7
1957-11-03,Soviet Union,SU,R-7
1957-12-06,United States,US,Other
1958-02-01,United States,US,Other
1958-02-05,United States,US,Other
1958-03-05,United States,US,Other
1958-03-17,United States,US,Other
1958-03-26,United States,US,Other
1958-04-27,Soviet Union,SU,R-7
1958-04-29,United States,US,Other
1958-05-15,Soviet Union,SU,R-7
1958-05-28,United States,US,Other
1958-06-26,United States,US,Other
1958-07-25,United States,US,Other
1958-07-26,United States,US,Other
1958-08-12,United States,US,Other
1958-08-17,United States,US,Thor
1958-08-22,United States,US,Other
1958-08-24,United States,US,Other
1958-08-25,United States,US,Other
1958-08-26,United States,US,Other
1958-08-28,United States,US,Other
1958-09-23,Soviet Union,SU,R-7
1958-09-26,United States,US,Other
1958-10-11,United States,US,Thor
1958-10-11,Soviet Union,SU,R-7
1958-10-23,United States,US,Other
1958-11-08,United States,US,Thor
1958-12-04,Soviet Union,SU,R-7
1958-12-06,United States,US,Other
1958-12-18,United States,US,Atlas
1959-01-02,Soviet Union,SU,R-7
1959-02-17,United States,US,Other
1959-02-28,United States,US,Thor
1959-03-03,United States,US,Other
1959-04-13,United States,US,Thor
1959-04-13,United States,US,Thor
1959-04-14,United States,US,Other
1959-04-14,United States,US,Other
1959-06-03,United States,US,Thor
1959-06-03,United States,US,Thor
1959-06-18,Soviet Union,SU,R-7
1959-06-22,United States,US,Other
1959-06-25,United States,US,Thor
1959-06-25,United States,US,Thor
1959-07-16,United States,US,Other
1959-08-07,United States,US,Thor
1959-08-13,United States,US,Thor
1959-08-13,United States,US,Thor
1959-08-15,United States,US,Other
1959-08-19,United States,US,Thor
1959-08-19,United States,US,Thor
1959-09-12,Soviet Union,SU,R-7
1959-09-17,United States,US,Thor
1959-09-18,United States,US,Other
1959-10-04,Soviet Union,SU,R-7
1959-10-13,United States,US,Other
1959-11-07,United States,US,Thor
1959-11-07,United States,US,Thor
1959-11-20,United States,US,Thor
1959-11-20,United States,US,Thor
1959-11-26,United States,US,Atlas
1960-02-04,United States,US,Thor
1960-02-04,United States,US,Thor
1960-02-04,United States,US,Thor
1960-02-19,United States,US,Thor
1960-02-19,United States,US,Thor
1960-02-19,United States,US,Thor
1960-02-26,United States,US,Atlas
1960-03-11,United States,US,Thor
1960-03-23,United States,US,Other
1960-04-01,United States,US,Thor
1960-04-13,United States,US,Thor
1960-04-13,United States,US,Thor
1960-04-15,Soviet Union,SU,R-7
1960-04-15,United States,US,Thor
1960-04-15,United States,US,Thor
1960-04-15,United States,US,Thor
1960-04-16,Soviet Union,SU,R-7
1960-05-13,United States,US,Thor
1960-05-15,Soviet Union,SU,R-7
1960-05-24,United States,US,Atlas
1960-06-22,United States,US,Thor
1960-06-22,United States,US,Thor
1960-06-29,United States,US,Thor
1960-06-29,United States,US,Thor
1960-07-28,Soviet Union,SU,R-7
1960-08-10,United States,US,Thor
1960-08-10,United States,US,Thor
1960-08-10,United States,US,Thor
1960-08-12,United States,US,Thor
1960-08-18,United States,US,Thor
1960-08-18,United States,US,Thor
1960-08-18,United States,US,Thor
1960-08-18,United States,US,Thor
1960-08-19,Soviet Union,SU,R-7
1960-09-13,United States,US,Thor
1960-09-13,United States,US,Thor
1960-09-13,United States,US,Thor
1960-09-13,United States,US,Thor
1960-09-25,United States,US,Atlas
1960-10-04,United States,US,Thor
1960-10-10,Soviet Union,SU,R-7
1960-10-11,United States,US,Atlas
1960-10-11,United States,US,Atlas
1960-10-14,Soviet Union,SU,R-7
1960-10-26,United States,US,Thor
1960-10-26,United States,US,Thor
1960-10-26,United States,US,Thor
1960-10-26,United States,US,Thor
1960-11-03,United States,US,Other
1960-11-12,United States,US,Thor
1960-11-12,United States,US,Thor
1960-11-12,United States,US,Thor
1960-11-12,United States,US,Thor
1960-11-23,United States,US,Thor
1960-11-30,United States,US,Thor
1960-11-30,United States,US,Thor
1960-12-01,Soviet Union,SU,R-7
1960-12-04,United States,US,Other
1960-12-07,United States,US,Thor
1960-12-07,United States,US,Thor
1960-12-07,United States,US,Thor
1960-12-15,United States,US,Atlas
1960-12-20,United States,US,Thor
1960-12-22,Soviet Union,SU,R-7
1961-01-31,United States,US,Atlas
